2,
1,
0,
0, initial: 30, 0.5530644620295107
1, initial: 29, 0.5062948587522508
2, initial: 31, 0.7608055469677064
0, initial: 31, 0.7069025951205549
2, initial: 32, 0.17396711028981565
1, initial: 30, 0.6337203548122119
0, initial: 32, 0.26510147442514453
2, initial: 33, 0.665605858420235
1, initial: 31, 0.7459887957796659
0, initial: 33, 0.6399400053728975
2, initial: 34, 0.6372189853026895
1, initial: 32, 0.23497249937253095
0, initial: 34, 0.4348946121619901
1, initial: 33, 0.5692791259937232
2, initial: 35, 0.5085944915668816
1, initial: 34, 0.5838129912501759
0, initial: 35, 0.6010347956291162
2, initial: 36, 0.45499879481540645
1, initial: 35, 0.5969947283507151
0, initial: 36, 0.1701439937825526
1, initial: 36, 0.35618052949809403
2, initial: 37, 0.36907560279829055
2, initial: 38, 0.2529401670783934
1, initial: 37, 0.42516385520109673
2, initial: 39, 0.24748495238819587
1, initial: 38, 0.2651127028086017
0, initial: 37, 0.5519145555612428
2, initial: 40, 0.762313372953862
0, initial: 38, 0.1359872564149952
1, initial: 39, 0.20283288604937416
2, initial: 41, 0.5868454563084097
0, initial: 39, 0.17603163373023473
1, initial: 40, 0.8290095091219034
2, initial: 42, 0.5906902666939267
0, initial: 40, 0.8090785858539268
2, initial: 43, 0.30163101459343733
1, initial: 41, 0.5413601746091042
0, initial: 41, 0.5730447528754528
2, initial: 44, 0.9
0, initial: 42, 0.4410342383668581
1, initial: 42, 0.5662306324790672
2, initial: 45, 0.36756756928715506
0, initial: 43, 0.1769286901379187
1, initial: 43, 0.20726849865631097
0, initial: 44, 0.8688436305408738
2, initial: 46, 0.9
0, initial: 45, 0.2691847644136994
1, initial: 44, 0.829620413470004
2, initial: 47, 0.5251333208531392
0, initial: 46, 0.7119400744527639
2, initial: 48, 0.7915917114541634
0, initial: 47, 0.43455182775879425
1, initial: 45, 0.38281545689540447
2, initial: 49, 0.22189178729416525
2, initial: 0, 0.1
2, initial: 1, 0.2586447930566319
2, initial: 2, 0.7171941269847278
2, initial: 3, 0.1
2, initial: 4, 0.8599877492353438
2, initial: 5, 0.6201146061533398
2, initial: 6, 0.2580356880671901
2, initial: 7, 0.6269738186199645
2, initial: 8, 0.48822234625922856
2, initial: 9, 0.8626144925336028
2, initial: 10, 0.9
2, initial: 11, 0.9
2, initial: 12, 0.9
2, initial: 13, 0.9
0, initial: 48, 0.463149446220991
2, initial: 14, 0.9
2, initial: 15, 0.16851304679341947
2, initial: 16, 0.9
2, initial: 17, 0.1
2, initial: 18, 0.27800467798892425
2, initial: 19, 0.1
2, initial: 20, 0.1946860851783554
1, initial: 46, 0.8565323437021546
2, initial: 21, 0.31932146902051023
2, initial: 22, 0.6637338119361778
2, initial: 23, 0.27873812681827415
2, initial: 24, 0.9
2, initial: 25, 0.9
2, initial: 26, 0.6315207607088731
2, initial: 27, 0.1
2, initial: 28, 0.9
2, initial: 29, 0.9
2, initial: 30, 0.9
2, initial: 31, 0.4988875138851944
2, initial: 32, 0.8582988936643644
2, initial: 33, 0.2840588126463552
2, initial: 34, 0.5654173518527519
2, initial: 35, 0.8296455340853705
2, initial: 36, 0.24287016987878018
2, initial: 37, 0.9
2, initial: 38, 0.1
2, initial: 39, 0.47818746126133044
2, initial: 40, 0.7059935520867117
2, initial: 41, 0.9
2, initial: 42, 0.466345802996013
2, initial: 43, 0.6743443332730356
2, initial: 44, 0.8314973887502642
2, initial: 45, 0.2918643420502172
2, initial: 46, 0.42681697449819905
2, initial: 47, 0.5456825053201553
2, initial: 48, 0.9
2, initial: 49, 0.9
1, initial: 47, 0.4663701460873169
2, update: 0, 0.42604739451912516
2, update: 1, 0.343813201084688
2, update: 2, 0.34080778538563694
1, initial: 48, 0.6710530507393122
2, update: 3, 0.3301948776419833
2, update: 4, 0.5444149944273656
2, update: 5, 0.2746890028534274
2, update: 6, 0.8295519904005567
1, initial: 49, 0.12240240621216479
1, initial: 0, 0.1
1, initial: 1, 0.9
1, initial: 2, 0.1
1, initial: 3, 0.9
1, initial: 4, 0.1397277815665127
1, initial: 5, 0.1
1, initial: 6, 0.9
1, initial: 7, 0.8029585611090085
2, update: 7, 0.6423860675830689
1, initial: 8, 0.4463514140174098
1, initial: 9, 0.17422908847856192
0, initial: 49, 0.24609720884704614
1, initial: 10, 0.369116660325345
0, initial: 0, 0.6626838258611739
1, initial: 11, 0.9
0, initial: 1, 0.36173463122710864
1, initial: 12, 0.1
1, initial: 13, 0.4380164416684272
0, initial: 2, 0.1
0, initial: 3, 0.6092780780885185
1, initial: 14, 0.1
1, initial: 15, 0.7041383775919542
0, initial: 4, 0.9
1, initial: 16, 0.9
0, initial: 5, 0.4031731439707063
2, update: 8, 0.28251692736667827
1, initial: 17, 0.7699723419446018
0, initial: 6, 0.9
1, initial: 18, 0.9
0, initial: 7, 0.1
1, initial: 19, 0.39303881950130976
0, initial: 8, 0.1
1, initial: 20, 0.4506410530092587
0, initial: 9, 0.9
1, initial: 21, 0.8150071382276786
0, initial: 10, 0.1
1, initial: 22, 0.24760996115126202
0, initial: 11, 0.6812076666069866
1, initial: 23, 0.23181895856944487
1, initial: 24, 0.9
0, initial: 12, 0.9
1, initial: 25, 0.1
